Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall Evans,CB,73,190,4.57,0.806547179,,,,,,,,,,,0.806547179,0.806547179,6,196,190,,1,0,0,1,1,1,,,,,,0,,,,,,,0,,
Raymon Taylor,CB,70,182,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Reggie Owens,CB,73,189,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,,
RobDonovan Lewis,CB,70,188,4.59,0.739690694,,,,,,,,,,,0.739690694,0.739690694,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Robertson Daniel,CB,73,198,4.56,0.839975421,,,,,,,,,,,0.839975421,0.839975421,,,,,,,,,0,,,1,0,0,19,19,19,,,,,,0,,
Ronald Darby,CB,70.63,193,4.38,1.441683779,12,-1.440857416,41.5,1.874545748,129,1.460276939,4.14,0.892125794,6.94,0.844646274,5.072421118,0.84540352,2,50,49,,15,0,914,67,981,65.4,,14,0,821,92,913,65.21428571,,8,0,379,9,388,48.5,
SaQwan Edwards,CB,73,200,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Senquez Golson,CB,68.63,176,4.46,1.174257842,15,-0.950104155,33.5,-0.023634569,120,0.51303681,4.2,0.656227958,6.81,1.173532103,2.543315989,0.423885998,2,56,55,,,,,,0,,,,,,,0,,,,,,,0,,
Stephen Godbolt,CB,70,176,4.54,0.906831905,,,,,,,,,,,0.906831905,0.906831905,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Steven Nelson,CB,70.13,197,4.49,1.073973115,19,-0.295766474,34.5,0.21363797,115,-0.013207705,4.07,1.167339937,6.88,0.996439734,3.142416577,0.523736096,3,98,97,,12,0,53,126,179,14.91666667,,15,0,1013,117,1130,75.33333333,,9,0,512,35,547,60.77777778,
Tajh Hasson,CB,73,198,4.48,1.107401358,,,,,,,,,,,1.107401358,1.107401358,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Terell Floyd,CB,69,187,4.57,0.806547179,,,,,,,,,,,0.806547179,0.806547179,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Tevin Mitchel,CB,73,183,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,6,182,176,,,,,,0,,,,,,,0,,,,,,,0,,
Tim Bennett,CB,69,186,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Trae Waynes,CB,72.13,186,4.31,1.675681474,19,-0.295766474,38,1.044091859,122,0.723534617,4.39,-0.090781857,7.06,0.541059354,3.597818973,0.599636495,1,11,11,,15,0,195,232,427,28.46666667,,15,0,579,167,746,49.73333333,,16,0,915,86,1001,62.5625,
Travell Dixon,CB,73,198,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,1,0,0,13,13,13,,,,,,0,,
Troy Hill,CB,70,182,4.55,0.873403663,,,32.5,-0.260907109,120,0.51303681,4.21,0.616911652,6.81,1.173532103,2.915977119,0.583195424,,,,,3,0,23,47,70,23.33333333,,12,0,336,144,480,40,,12,0,266,154,420,35,
Tye Smith,CB,72.13,195,4.6,0.706262452,15,-0.950104155,36.5,0.68818305,124,0.934032423,3.96,1.599819303,6.97,0.768749544,3.746942617,0.624490436,5,170,165,,4,0,0,25,25,6.25,,,,,,0,,,15,0,125,253,378,25.2,
Alvin Dupree,DE,76,269,4.56,0.839975421,,,42,1.993182018,138,2.407517067,,,,,5.240674506,1.746891502,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Andrew Hudson,DE,74,250,4.86,-0.162871843,,,,,,,,,,,-0.162871843,-0.162871843,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Angelo Pruitt,DE,74,287,4.93,-0.396869537,,,,,,,,,,,-0.396869537,-0.396869537,,,,,,,,,0,,,,,,,0,,,,,,,0,,
