Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Ford,DE,74.13,252,,,,,,,,,,,,,,,1,23,23,,16,0,122,88,210,13.125,,14,0,479,0,479,34.21428571,,15,0,799,4,803,53.53333333,,6,0,316,0,316,52.66666667,
Demarcus Lawrence,DE,74.88,251,4.8,-0.115699657,20,-0.040761805,34.5,0.411858952,112,-0.269888695,4.31,0.237576385,7.46,-0.525625639,-0.302540458,-0.05042341,2,34,34,,7,0,217,7,224,32,,16,0,698,87,785,49.0625,,9,0,327,8,335,37.22222222,,16,0,701,67,768,48,
Ethan Westbrooks,DE,75.5,267,4.9,-0.464206738,19,-0.187624188,29,-0.823552133,110,-0.493156364,4.67,-1.220426636,7.3,-0.130070073,-3.319036133,-0.553172689,,,,,6,0,87,0,87,14.5,,13,0,275,36,311,23.92307692,,16,0,533,73,606,37.875,,16,0,332,11,343,21.4375,
IK Enemkpali,DE,72.75,261,4.78,-0.045998241,28,1.134137267,34,0.299548854,112,-0.269888695,4.65,-1.139426468,7.67,-1.044792319,-1.066419603,-0.1777366,6,210,182,,6,0,40,40,80,13.33333333,,11,0,146,12,158,14.36363636,,,,,,0,,,,,,,0,,
Jackson Jeffcoat,DE,75,247,4.63,0.476762381,18,-0.334486572,36,0.748789248,123,0.958083482,4.18,0.764077476,6.97,0.685763281,3.298989295,0.549831549,,,,,3,0,117,30,147,49,,6,0,25,85,110,18.33333333,,,,,,0,,,,,,,0,,
Jadeveon Clowney,DE,77.25,266,4.53,0.825269462,21,0.106100579,37.5,1.085719544,123,0.958083482,4.43,-0.248424622,7.27,-0.055903405,2.67084504,0.44514084,1,1,1,,4,0,143,6,149,37.25,,13,0,562,22,584,44.92307692,,14,0,737,74,811,57.92857143,,16,0,895,80,975,60.9375,
James Gayle,DE,75.75,259,4.7,0.232807424,26,0.840412499,37,0.973409446,122,0.846449648,4.27,0.399576721,7.19,0.141874378,3.434530115,0.572421686,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Josh Mauro,DE,77.88,271,5.21,-1.544578689,21,0.106100579,32,-0.149691541,115,0.065012808,4.51,-0.572425293,7.43,-0.45145897,-2.547041107,-0.424506851,,,,,5,0,82,15,97,19.4,,14,0,249,166,415,29.64285714,,15,0,389,107,496,33.06666667,,13,0,334,52,386,29.69230769,
Kareem Martin,DE,77.88,272,4.72,0.163106008,22,0.252962963,35.5,0.63647915,128,1.516252653,4.33,0.156576217,7.2,0.117152155,2.842529146,0.473754858,3,84,80,,11,0,182,27,209,19,,16,0,145,238,383,23.9375,,13,0,33,311,344,26.46153846,,16,0,457,306,763,47.6875,
Kerry Wynn,DE,77,266,4.97,-0.708161695,31,1.574724419,34,0.299548854,113,-0.158254861,,,7.11,0.339652161,1.347508877,0.269501775,,,,,5,0,184,52,236,47.2,,15,1,578,160,739,49.26666667,,14,0,117,128,245,17.5,,15,1,252,164,417,27.8,
Kony Ealy,DE,76,273,4.92,-0.533908154,22,0.252962963,31,-0.374311738,113,-0.158254861,4.45,-0.32942479,6.83,1.031874401,-0.111062179,-0.018510363,2,60,59,,15,0,361,2,363,24.2,,16,0,648,55,703,43.9375,,16,0,623,88,711,44.4375,,15,0,452,39,491,32.73333333,
Larry Webster,DE,78,252,4.58,0.651015921,17,-0.481348956,36.5,0.861099347,123,0.958083482,4.44,-0.288924706,7.29,-0.105347851,1.594577237,0.265762873,4,136,128,,,,,,0,,,,,,,0,,,1,0,19,0,19,19,,,,,,0,,
Marcus Smith,DE,75.38,251,4.68,0.30250884,23,0.399825347,35,0.524169051,121,0.734815813,4.47,-0.410424958,7.48,-0.575070085,0.975824009,0.162637335,1,26,26,,8,0,68,37,105,13.125,,13,0,127,196,323,24.84615385,,16,0,217,179,396,24.75,,14,0,253,91,344,24.57142857,
Michael Sam,DE,74,261,4.91,-0.499057446,17,-0.481348956,25.5,-1.609722824,113,-0.158254861,4.7,-1.341926888,7.8,-1.366181216,-5.456492191,-0.909415365,7,249,200,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Scott Crichton,DE,74.88,273,4.84,-0.25510249,24,0.546687731,31.5,-0.26200164,108,-0.716424032,4.29,0.318576553,7.19,0.141874378,-0.226389499,-0.037731583,3,72,70,,8,0,16,89,105,13.125,,13,0,129,209,338,26,,,,,,0,,,,,,,0,,
Taylor Hart,DE,78.13,281,4.92,-0.533908154,21,0.106100579,,,,,,,,,-0.427807575,-0.213903787,5,141,133,,,,,,0,,,14,0,326,98,424,30.28571429,,1,0,20,5,25,25,,,,,,0,,
Tevin Mims,DE,76,260,4.95,-0.638460279,17,-0.481348956,27.5,-1.160482429,116,0.176646642,,,,,-2.103645022,-0.525911256,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Trent Murphy,DE,77.38,250,4.86,-0.324803906,19,-0.187624188,35.5,0.63647915,116,0.176646642,4.2,0.683077308,6.78,1.155485515,2.13926052,0.35654342,2,47,46,,15,0,579,230,809,53.93333333,,16,0,671,220,891,55.6875,,16,0,674,153,827,51.6875,,,,,,0,,
Will Clarke,DE,78.13,271,4.77,-0.011147533,22,0.252962963,32,-0.149691541,111,-0.381522529,4.57,-0.815425797,7.26,-0.031181182,-1.136005619,-0.18933427,3,88,84,,7,0,62,26,88,12.57142857,,12,0,134,100,234,19.5,,16,0,372,29,401,25.0625,,15,0,313,189,502,33.46666667,
Zach Moore,DE,77.5,269,4.84,-0.25510249,23,0.399825347,33.5,0.187238755,123,0.958083482,4.46,-0.369924874,7.41,-0.402014525,0.518105696,0.086350949,,,,,8,0,93,7,100,12.5,,1,0,6,0,6,6,,1,0,10,0,10,10,,,,,,0,,
Aaron Donald,DT,72.75,285,4.68,0.30250884,35,2.162173954,32,-0.149691541,115,0.065012808,4.39,-0.086424286,7.11,0.339652161,2.633231936,0.438871989,1,13,13,,16,0,648,74,722,45.125,,16,0,915,76,991,61.9375,,16,0,829,63,892,55.75,,14,0,790,72,862,61.57142857,
Anthony Johnson,DT,74.5,308,5.24,-1.649130814,20,-0.040761805,24.5,-1.834343021,101,-1.497860872,4.83,-1.868427979,7.93,-1.687570113,-8.578094603,-1.429682434,,,,,7,0,82,16,98,14,,,,,,0,,,11,0,127,64,191,17.36363636,,4,0,5,60,65,16.25,
Caraun Reid,DT,74.13,302,4.91,-0.499057446,20,-0.040761805,26.5,-1.385102627,104,-1.162959369,4.58,-0.855925881,7.59,-0.847014536,-4.790821663,-0.798470277,5,158,147,,12,0,111,8,119,9.916666667,,14,0,533,7,540,38.57142857,,7,0,112,24,136,19.42857143,,1,0,18,1,19,19,
Daniel McCullers,DT,78.75,352,5.18,-1.440026565,27,0.987274883,20.5,-2.732823811,104,-1.162959369,,,,,-4.348534862,-1.087133715,6,215,184,,9,0,63,20,83,9.222222222,,12,0,105,13,118,9.833333333,,16,0,182,74,256,16,,5,0,13,5,18,3.6,
